NPK;G27;STPP;NA;DCP;TSP;DAP;AP54;Year
0;0;3338;0;1200;4720;4640;14264;31/05/2019
0;1373;3006;2000;4300;18210;12160;11844;30/06/2019
2100;2655;3835;0;1583;30965;33658;18195;31/07/2019
4000;0;3819;0;789;1550;59127;14355;31/08/2019
;;3853;0;5691;2788;70842;8087;30/09/2019
;;6277;2000;3000;88440;32700;4987;31/10/2019
;;3864;0;0;0;31780;6578;30/11/2019
;;7911;0;0;50600;11695;10835;31/12/2019
0;0;1639;0;3850;26250;46340;17644;31/01/2020
3000;0;4527;0;0;0;63815;29520;28/02/2020
1650;0;5263;0;4000;13200;16355;17029;31/03/2020
0;0;6104;0;0;0;12730;14164;30/04/2020
0;2420;4663;0;4000;10000;55165;14083;31/05/2020
1000;0;4168;0;4000;4500;97363;30304;30/06/2020
3500;0;3814;0;0;0;28300;3831;31/07/2020
0;0;4665;;;;;;31/08/2020
